source,text,created_at,retweet_count,favorite_count,word_count,sentiment
Twitter for iPhone,Too bad!,Wed May 22 11:00:15 +0000 2019,16608,68715,2,-0.5303300858899106
Twitter for iPhone,The greatest Hoax in American History.,Wed May 22 11:00:15 +0000 2019,16608,68715,6,-0.20412414523193154
Twitter for iPhone,PRESIDENTIAL HARASSMENT!,Wed May 22 10:03:51 +0000 2019,24309,104182,2,-0.7071067811865475
Twitter for iPhone,The Democrats are getting ZERO work done in Congress.,Wed May 22 10:02:55 +0000 2019,15314,58611,9,0.08333333333333333
Twitter for iPhone,"All they are focused on is trying to prove the Mueller Report wrong, the Witch Hunt!",Wed May 22 10:02:55 +0000 2019,15314,58611,16,0.012499999999999983
Twitter for iPhone,"After two years of an expensive and comprehensive Witch Hunt, the Democrats don’t like the result and they want a DO OVER.",Wed May 22 09:58:59 +0000 2019,11968,49736,23,0.12510864843424485
Twitter for iPhone,"In other words, the Witch Hunt continues!",Wed May 22 09:58:59 +0000 2019,11968,49736,7,-0.15118578920369088
Twitter for iPhone,"Everything the Democrats are asking me for is based on an illegally started investigation that failed for them, especially when the Mueller Report came back with a NO COLLUSION finding.",Wed May 22 09:55:14 +0000 2019,17226,66473,30,-0.16431676725154984
Twitter for iPhone,"Now they say Impeach President Trump, even though he did nothin wrong, while they “fish!”",Wed May 22 09:55:14 +0000 2019,17226,66473,15,-0.34856850115866755
Twitter for iPhone,Congratulations to Governor @MattBevin on winning the Republican Primary for Governor tonight in the Great State of KENTUCKY.,Wed May 22 02:29:40 +0000 2019,12179,55967,18,0.6128258770283412
Twitter for iPhone,"Matt, you are doing a fantastic job!",Wed May 22 02:29:40 +0000 2019,12179,55967,7,0.2834733547569204
Twitter for iPhone,"Great news for Republicans: Fred Keller has just won the hard fought for Pennsylvania Congressional contest in a LANDSLIDE, over 70% of the vote.",Wed May 22 02:20:51 +0000 2019,22072,95381,23,0.10425720702853739
Twitter for iPhone,Thanks to the thousands who showed up for the Rally last night.,Wed May 22 02:20:51 +0000 2019,22072,95381,12,0.17320508075688773
Twitter for iPhone,Congratulations to Fred and his wonderful family!,Wed May 22 02:20:51 +0000 2019,22072,95381,7,0.5669467095138409
Twitter for iPhone,"John Brennan on the Mueller probe, “I don’t know if I received bad information, but I THINK I SUSPECTED THAT THERE WAS MORE THAN THERE ACTUALLY WAS.” Wow, he admits he was wrong!",Wed May 22 01:02:38 +0000 2019,19002,70812,34,-0.03515720995421431
Twitter for iPhone,Congress should go back to work on drug prices etc.,Wed May 22 01:02:38 +0000 2019,19002,70812,10,0.04743416490252569
Twitter for iPhone,"The Democrats are on a fishing expedition, wanting to interview the same people, and see the same things, as we just went through for two years with Robert Mueller and the 18 Angry Dems.",Wed May 22 00:51:43 +0000 2019,19648,80021,33,-0.02611164839335468
Twitter for iPhone,Never happened to a president before.,Wed May 22 00:51:43 +0000 2019,19648,80021,6,0
Twitter for iPhone,Never even happened to President Obama!,Wed May 22 00:51:43 +0000 2019,19648,80021,6,0
Twitter for iPhone,"After spending 40 Million Dollars, reviewing 1.4 million pages of documents, &amp; interviewing 500 people with the total support of the White House, the Mueller Report was a BIG DISAPPOINTMENT to the Democrats, so they want a DO OVER.",Wed May 22 00:32:40 +0000 2019,17282,67043,36,0.025000000000000005
Twitter for iPhone,It doesn’t work that way-so bad for our Country!,Wed May 22 00:32:40 +0000 2019,17282,67043,11,-0.15075567228888181
Twitter for iPhone,Shahira Knight has done a wonderful job as my Legislative Affairs Director at the White House.,Tue May 21 22:48:50 +0000 2019,8858,44362,16,0.5
Twitter for iPhone,She was outstanding for us and for our Country - will be a tremendous success in the private sector!,Tue May 21 22:48:50 +0000 2019,8858,44362,18,0.3535533905932738
Twitter for iPhone,"Wow, Mark Levin’s new book opened at #1.",Tue May 21 22:00:15 +0000 2019,12997,49288,8,0.4596194077712559
